date,ABEV3.SA/B3SA3.SA_zscore,ABEV3.SA/B3SA3.SA_entry,ABEV3.SA/B3SA3.SA_maintain,ABEV3.SA/B3SA3.SA_exit
2024-02-01,-0.6496172450033267,False,False,False
2024-02-02,-0.3386033043710214,False,False,False
2024-02-05,0.016500044130023046,False,False,False
2024-02-06,0.3250723775645288,False,False,False
2024-02-07,-1.3481847273557397,False,False,False
2024-02-08,-0.8881929967198163,False,False,False
2024-02-09,-1.095537301269501,False,False,False
2024-02-14,-0.254527958352167,False,False,False
2024-02-15,-0.14963248628619047,False,False,False
2024-02-16,-0.6849375233809714,False,False,False
2024-02-19,-0.3414688157907311,False,False,False
2024-02-20,-0.7975821799078538,False,False,False
2024-02-21,-0.22085947772643436,False,False,False
2024-02-22,0.4815909448836506,False,False,False
2024-02-23,0.6642367568674213,False,False,False
2024-02-26,1.3058715091569448,False,False,False
2024-02-27,1.9009793614731965,False,False,False
2024-02-28,2.8410278779972615,True,False,False
2024-02-29,-1.9827849178933554,False,False,True
2024-04-01,-0.9358665249543898,False,False,False
2024-04-02,-1.1602943946927855,False,False,False
2024-04-03,-0.06244346583753556,False,False,False
2024-04-04,-0.6857961795545423,False,False,False
2024-04-05,-2.149607269754085,True,False,False
2024-04-08,-2.85520136142566,False,True,False
2024-04-09,-2.521890876833655,False,True,False
2024-04-10,-2.767955595664665,False,True,False
2024-04-11,-2.261819843943749,False,True,False
2024-04-12,-1.947809567627687,False,True,False
2024-04-15,-1.5781909861788253,False,True,False
2024-04-16,-1.8852021495268267,False,True,False
2024-04-17,-1.7992861752220883,False,True,False
2024-04-18,-1.234874447333044,False,True,False
2024-04-19,-1.4043670337667924,False,True,False
2024-04-22,-1.6591025726771367,False,True,False
2024-04-23,-1.6561037195142163,False,True,False
2024-04-24,-0.21859731732237472,False,True,False
2024-04-25,-0.019801189717994785,False,True,False
2024-04-26,-1.1799337972646886,False,True,False
2024-04-29,-0.44702816822500796,False,True,False
2024-04-30,0.8249805405744873,False,False,True
2024-06-03,-0.9005801131403455,False,False,False
2024-06-04,-0.17928859508210235,False,False,False
2024-06-05,-0.9508059198053762,False,False,False
2024-06-06,-0.6520452430083192,False,False,False
2024-06-07,-1.0394796215705133,False,False,False
2024-06-10,-0.7558482887395049,False,False,False
2024-06-11,-1.2879141553374611,False,False,False
2024-06-12,-1.530393715916587,False,False,False
2024-06-13,-1.501023876448858,False,False,False
2024-06-14,-1.6013613148006447,False,False,False
2024-06-17,-2.2190759065744436,True,False,False
2024-06-18,-2.325460172240286,False,True,False
2024-06-19,-2.3968034593515446,False,True,False
2024-06-20,-1.4885986043972415,False,True,False
2024-06-21,-1.7180401862223547,False,True,False
2024-06-24,-1.8867021846553096,False,True,False
2024-06-25,-0.9269399047493379,False,True,False
2024-06-26,-0.2060132525716279,False,True,False
2024-06-27,-0.7398313589255744,False,True,False
2024-06-28,-0.49622816605986286,False,True,False
